水利工程,水域
下游,水库
湖泊,水库
水工建筑物,水位
库容,拦洪库容
水库,水位
水库,水库防洪限制水位
库容,调洪库容
水库,水位
防洪标准,流量
库容,防洪库容
库容,共用库容
径流量,流量
水经,水经注
湖流,堤
干渠,八堡圳
水文资料,水文年鉴
地面径流,河流
分水线,流域
河源,沼泽
河流,支流
冰川,冰蚀湖
河流,凌汛
河流,封冻
河流,冰坝
雪,春汛
流域,径流量
径流量,降水量
河流,融雪径流
洪水频率,洪水
采样频率,采样
洪水,水库
洪水,泄洪能力
径流量,枯水期
下游,洪水
暴雨径流,洪水
洪潮遭遇,水位
洪水,河流
分洪,水位
洪水,行洪区
洪水,堤
堤,主坝
水库,副坝
堤,副坝
水位,散浸
脱坡,滤水还坡
截流戗堤,截流
参考作物需水量,作物系数
作物系数,参考作物需水量
播前灌溉,储水灌溉
水位,自流灌溉
水位,提水灌溉
矿化度,灌溉
矿化度,淡水
矿化度,咸水
淡水,灌溉
灌溉,格田
排涝模数,流量
河流,河槽
湖泊,容泄区
圩区,堤
盐土,盐碱土
盐土,碱化
返盐,碱化
水位,提水灌溉
灌区,水库
水位,自流灌溉
大型灌区,灌区
排水工程,径流
库容系数,年调节
水库,流量
无调节水电站,流量
坝后式水电站,调频电站
水库,备用容量
农村水电站,水能资源
地下厂房,变压器
流量,设计流量
设计流量,流速
闸门,拦污栅
水轮机进水阀,调节流量
水轮机,伸缩节
水轮发电机,励磁机
混流泵,蜗壳
真空泵,底阀
水闸,止水
防渗体,土石坝
溢流土石坝,水库
横缝,止水
闸门,上游
水位,检修闸门
平面闸门,螺杆式启闭机
启闭机,闸门
固定启闭机,闸门
排沙底孔,衬砌
排沙底孔,衬砌
水轮机,水电站拦污栅
溢洪道,闸门
水工隧洞,衬砌
衬砌,回填灌浆
衬砌,圆形隧洞
衬砌,水工隧洞
流量,水利工程
库容,流域面积
挡水建筑物,重力坝
库容,流域面积
库容,流域面积
挡水建筑物,重力坝
库容,流域面积
库容,流域面积
挡水建筑物,宽缝重力坝
库容,流域面积
库容,流域面积
主坝,拱形重力坝
库容,流域面积
大坝加高,防洪标准
上游,流域面积
上游,重力坝
水库,径流
水资源,水库
溢洪道,混凝土浇筑
河床,河流
导流设计流量,设计标准
径流量,上游
枯水期,河槽
河流,水位
流速,河流
闸室,下游
闸室,挡水建筑物
闸室,挡水建筑物
水经,闸室
污染源,生活污水
供水系统,采样点
污染源,采样点
河流,采样点
水文化,精神形态水文化
水域,文化
红旗渠,水利工程
河流,湖泊
